
  *****************************************************************
  *                                                               *
  *               The Normalized Pin Power in Core                *
  *                                                               *
  *****************************************************************
  ID               1               2               3               4               5               6               7               8               9              10              11              12              13              14              15              16              17
   1  2.22421598e+00  2.22979926e+00  2.24083309e+00  2.25464046e+00  2.26135679e+00  2.26418641e+00  2.21905064e+00  2.18102297e+00  2.15251065e+00  2.08660952e+00  2.02901006e+00  1.97719959e+00  1.88103555e+00  1.77522451e+00  1.65018410e+00  1.49879787e+00  1.29274378e+00
   2  2.22967900e+00  2.24278441e+00  2.27053517e+00  2.31035138e+00  2.34341933e+00  2.41601170e+00  2.29430101e+00  2.25257031e+00  2.29071316e+00  2.15586424e+00  2.09681619e+00  2.10968929e+00  1.95083319e+00  1.82079354e+00  1.67392737e+00  1.50825944e+00  1.29320186e+00
   3  2.24047105e+00  2.27029157e+00  2.35028578e+00  2.48934302e+00  2.52217378e+00  0.00000000e+00  2.42995664e+00  2.38041744e+00  0.00000000e+00  2.27979283e+00  2.21886631e+00  0.00000000e+00  2.10108774e+00  1.96431850e+00  1.73706572e+00  1.52930505e+00  1.29806697e+00
   4  2.25391117e+00  2.30973125e+00  2.48894975e+00  0.00000000e+00  2.55278799e+00  2.50669435e+00  2.33968982e+00  2.28820046e+00  2.33650012e+00  2.19009200e+00  2.13739054e+00  2.18688310e+00  2.12164222e+00  0.00000000e+00  1.84434166e+00  1.55969403e+00  1.30644230e+00
   5  2.26013415e+00  2.34227906e+00  2.52121199e+00  2.55224629e+00  2.45324075e+00  2.47771534e+00  2.32306298e+00  2.27423207e+00  2.32243834e+00  2.17713935e+00  2.12316332e+00  2.16331302e+00  2.04126020e+00  2.01250418e+00  1.86646561e+00  1.58454478e+00  1.31191584e+00
   6  2.26234735e+00  2.41419092e+00  0.00000000e+00  2.50547163e+00  2.47706382e+00  0.00000000e+00  2.39413690e+00  2.34571320e+00  0.00000000e+00  2.24764236e+00  2.18819539e+00  0.00000000e+00  2.06562977e+00  1.97518541e+00  0.00000000e+00  1.63821615e+00  1.31613652e+00
   7  2.21650165e+00  2.29180043e+00  2.42757731e+00  2.33776308e+00  2.32166448e+00  2.39334911e+00  2.25836419e+00  2.21561358e+00  2.26430419e+00  2.12237280e+00  2.06688410e+00  2.09430379e+00  1.93730521e+00  1.84594467e+00  1.79805033e+00  1.55371934e+00  1.29070256e+00
   8  2.17763490e+00  2.24918608e+00  2.37706768e+00  2.28535710e+00  2.27191146e+00  2.34393353e+00  2.21468723e+00  2.17166870e+00  2.21389731e+00  2.08093121e+00  2.02855324e+00  2.05362192e+00  1.89866241e+00  1.80759118e+00  1.76391225e+00  1.52806276e+00  1.27127641e+00
   9  2.14816279e+00  2.28621465e+00  0.00000000e+00  2.33250376e+00  2.31899422e+00  0.00000000e+00  2.26228741e+00  2.21287102e+00  4.70692165e-05  2.12232702e+00  2.07258915e+00  0.00000000e+00  1.94267694e+00  1.84765025e+00  0.00000000e+00  1.56107026e+00  1.25929372e+00
  10  2.08127130e+00  2.15047023e+00  2.27433508e+00  2.18516529e+00  2.17271875e+00  2.24369770e+00  2.11933640e+00  2.07881757e+00  2.12117849e+00  1.99374282e+00  1.94470201e+00  1.97107240e+00  1.82240605e+00  1.73627677e+00  1.69690155e+00  1.47055250e+00  1.22427600e+00
